threshold,score,balanced_accuracy,macro_f1,failure_recall,success_recall,min_class_recall,actual_failure_rate,predicted_failure_rate,class_rate_gap,false_success,false_failure
0.35999999999999993,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.36999999999999994,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.37999999999999995,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.38999999999999996,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.3999999999999999,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.4099999999999999,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.41999999999999993,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.42999999999999994,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
0.43999999999999995,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.4499999999999999,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.4599999999999999,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.4699999999999999,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.4799999999999999,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.48999999999999994,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
0.49999999999999994,0.8581213307240705,0.8434442270058709,0.8643451143451144,0.7142857142857143,0.9726027397260274,0.7142857142857143,0.16091954022988506,0.13793103448275862,0.022988505747126436,4,2
