Model,Sampler,Accuracy,ROC-AUC,CV-AUC Mean,CV-AUC Std,Precision (Fail),Recall (Fail),F1 (Fail),Precision (Succ),Recall (Succ),F1 (Succ),Train Time (s)
LightGBM,SMOTE,0.8579474342928661,0.6916603410259696,0.6668065792596221,0.014711249741894585,0.4375,0.09502262443438914,0.15613382899628253,0.8709677419354839,0.9803921568627451,0.9224461906388794,1.52
Gradient Boosting,SMOTE,0.860450563204005,0.6832053417981907,0.6753935420056634,0.009313319946712119,0.48148148148148145,0.11764705882352941,0.1890909090909091,0.8737046632124352,0.9796659404502541,0.9236562820951729,5.99
SVM (RBF),SMOTE,0.581351689612015,0.6114413588462031,0.5809732376182588,0.012220457738546995,0.18271954674220964,0.583710407239819,0.2783171521035599,0.8968609865470852,0.5809731299927379,0.7051564565888057,23.77
Logistic Regression,SMOTE - ENN,0.5819774718397998,0.6355806609555168,0.63980981818545,0.029056355252583082,0.1900138696255201,0.6199095022624435,0.2908704883227176,0.9042189281641961,0.5758896151053013,0.7036379769299024,0.7
Random Forest,SMOTE - ENN,0.7590738423028786,0.6817036182664786,0.6804489482341977,0.014506475637799348,0.260233918128655,0.40271493212669685,0.31616341030195383,0.8949044585987261,0.8162672476397966,0.8537789593619446,0.65
XGBoost,SMOTE - ENN,0.5525657071339174,0.6842174443097164,0.6745097285549402,0.013277968199245028,0.20169082125603865,0.755656108597285,0.31839847473784555,0.9298701298701298,0.5199709513435004,0.6669771774569166,1.66
LightGBM,SMOTE - ENN,0.809136420525657,0.6883874380990875,0.680781002461269,0.015285834444494798,0.29411764705882354,0.27149321266968324,0.2823529411764706,0.8845050215208035,0.8954248366013072,0.8899314326957777,0.96
Gradient Boosting,SMOTE - ENN,0.7496871088861077,0.6837804000433758,0.681205876227186,0.017281921178606413,0.2520775623268698,0.4117647058823529,0.3127147766323024,0.8949070331447049,0.803921568627451,0.8469778117827085,5.17
SVM (RBF),SMOTE - ENN,0.49937421777221525,0.6069296161568365,0.5798074331084775,0.011473420316260126,0.16838487972508592,0.665158371040724,0.2687385740402194,0.8979310344827586,0.47276688453159044,0.6194100856327307,13.34
Logistic Regression,SMOTE - Tomek,0.6013767209011264,0.6405097316285321,0.6389623143993125,0.02944917724448257,0.1913946587537092,0.583710407239819,0.288268156424581,0.9004329004329005,0.6042120551924474,0.7231638418079096,0.8
Random Forest,SMOTE - Tomek,0.83729662077597,0.6771360127761512,0.6714744199118297,0.008963321803608213,0.3274336283185841,0.167420814479638,0.2215568862275449,0.8760942760942761,0.9448075526506899,0.9091544374563243,0.69
XGBoost,SMOTE - Tomek,0.6458072590738423,0.6932803622538339,0.6694292726912752,0.007829425364143062,0.2300469483568075,0.665158371040724,0.34186046511627904,0.9228362877997914,0.6427015250544662,0.7577054794520548,1.33
LightGBM,SMOTE - Tomek,0.8573216520650814,0.6936221111538297,0.668571151549853,0.011979449349189633,0.4339622641509434,0.10407239819004525,0.1678832116788321,0.8718446601941747,0.9782135076252724,0.9219712525667351,2.25
Gradient Boosting,SMOTE - Tomek,0.8585732165206508,0.6905266547711761,0.6763702700073239,0.010596235749187966,0.45614035087719296,0.11764705882352941,0.18705035971223022,0.8734587929915639,0.9774872912127814,0.9225496915695682,6.23
SVM (RBF),SMOTE - Tomek,0.5801001251564456,0.6116319495788931,0.5808733761734525,0.012254490435842402,0.18220338983050846,0.583710407239819,0.27771797631862216,0.8966292134831461,0.579520697167756,0.7040141155712395,22.4
